segment,motion_bin,channel,metric,median_a,iqr_a,median_b,iqr_b,delta,ci_low,ci_high,n_a,n_b,flag
rest,all,A_MAG,a_mag_mean,1013.2959,0.0000,1014.6613,1.7521,1.3654,-0.3867,3.1176,1,2,
rest,all,GREEN1,ac_dc_ratio,0.0019,0.0000,0.0076,0.0058,0.0057,-0.0000,0.0115,1,2,
rest,all,GREEN1,clipping_pct,0.3299,0.0000,0.2747,0.0435,-0.0552,-0.0987,-0.0117,1,2,
rest,all,GREEN1,noise_floor_db,31.9014,0.0000,39.3260,11.7456,7.4247,-4.3209,19.1703,1,2,
rest,all,GREEN1,peak_power_db,54.7469,0.0000,57.5930,8.0609,2.8461,-5.2148,10.9070,1,2,
rest,all,GREEN1,peak_width_hz,0.1252,0.0000,0.1252,0.0000,0.0000,0.0000,0.0000,1,1,
rest,all,GREEN1,snr_db,22.8456,0.0000,18.2670,3.6847,-4.5786,-8.2633,-0.8939,1,2,regressed
rest,all,GREEN2,ac_dc_ratio,0.0020,0.0000,0.0042,0.0030,0.0021,-0.0009,0.0051,1,2,
rest,all,GREEN2,clipping_pct,0.3299,0.0000,0.3646,0.0464,0.0347,-0.0117,0.0811,1,2,
rest,all,GREEN2,noise_floor_db,31.2278,0.0000,31.4912,11.1878,0.2634,-10.9244,11.4512,1,2,
rest,all,GREEN2,peak_power_db,55.5615,0.0000,50.4465,7.5103,-5.1150,-12.6253,2.3952,1,2,
rest,all,GREEN2,peak_width_hz,0.1252,0.0000,0.1252,0.0000,0.0000,0.0000,0.0000,1,2,
rest,all,GREEN2,snr_db,24.3337,0.0000,18.9553,3.6776,-5.3784,-9.0560,-1.7009,1,2,regressed
